,STATE,COUNTY,PRECINCT,DEM,REP
0,FL,Manatee,139,35,120
1,FL,Manatee,141,82,205
2,FL,Manatee,525,0,0
3,FL,Manatee,527,240,707
4,FL,Hillsborough,701,1437,3453
5,FL,Hillsborough,703,183,679
6,FL,Hillsborough,705,81,307
7,FL,Hillsborough,706,165,478
8,FL,Hillsborough,904,694,1070
9,FL,Hillsborough,905,67,175
10,FL,Hillsborough,906,81,202
11,FL,Hillsborough,907,207,459
12,FL,Hillsborough,908,870,1564
13,FL,Hillsborough,909,644,1665
14,FL,Hillsborough,913,701,1057
15,FL,Hillsborough,917,57,143
16,FL,Hillsborough,918,70,277
17,FL,Hillsborough,919,353,509
18,FL,Hillsborough,921,0,0
19,FL,Hillsborough,925,248,448
20,FL,Hillsborough,927,116,285
21,FL,Hillsborough,929,905,1642
22,FL,Hillsborough,944,1081,883
23,FL,Hillsborough,946,0,0
24,FL,Hillsborough,947,1830,1794
25,FL,Hillsborough,949,1364,1691
26,FL,Hillsborough,950,287,417
27,FL,Hillsborough,951,0,0
28,FL,Hillsborough,952,495,744
29,FL,Hillsborough,953,706,1011
30,FL,Hillsborough,962,154,210
31,FL,Okeechobee,1,180,484
32,FL,Okeechobee,2,0,0
33,FL,Okeechobee,3,0,0
34,FL,Okeechobee,4,389,513
35,FL,Okeechobee,5,218,414
36,FL,Okeechobee,6,503,850
37,FL,Okeechobee,7,257,334
38,FL,Okeechobee,8,460,1001
39,FL,Okeechobee,9,208,396
40,FL,Okeechobee,10,120,357
41,FL,Okeechobee,11,190,343
42,FL,Lee,1,288,941
43,FL,Lee,2,559,1019
44,FL,Lee,3,597,576
45,FL,Lee,5,490,1294
46,FL,Lee,26,637,834
47,FL,Lee,37,469,853
48,FL,Lee,38,662,1011
49,FL,Lee,39,643,1219
50,FL,Lee,54,184,561
51,FL,Lee,65,0,0
52,FL,Lee,67,464,1340
53,FL,Lee,68,632,926
54,FL,Lee,77,754,945
55,FL,Lee,78,746,921
56,FL,Lee,89,416,438
57,FL,Highlands,1,288,601
58,FL,Highlands,2,716,537
59,FL,Highlands,3,243,689
60,FL,Highlands,4,714,1348
61,FL,Highlands,5,761,1569
62,FL,Highlands,6,307,781
63,FL,Highlands,7,211,230
64,FL,Highlands,8,275,432
65,FL,Highlands,9,95,6
66,FL,Highlands,10,252,613
67,FL,Highlands,11,266,549
68,FL,Highlands,12,169,389
69,FL,Highlands,13,614,1650
70,FL,Highlands,14,67,149
71,FL,Highlands,15,890,2333
72,FL,Highlands,16,678,1220
73,FL,Highlands,17,0,0
74,FL,Highlands,18,47,76
75,FL,Highlands,19,519,1122
76,FL,Highlands,20,0,0
77,FL,Highlands,21,426,1122
78,FL,Highlands,22,180,314
79,FL,Highlands,23,146,286
80,FL,Highlands,24,0,0
81,FL,Highlands,25,795,1361
82,FL,Glades,1,56,140
83,FL,Glades,2,62,161
84,FL,Glades,3,62,81
85,FL,Glades,4,0,0
86,FL,Glades,5,144,345
87,FL,Glades,6,164,81
88,FL,Glades,7,106,262
89,FL,Glades,8,204,353
90,FL,Glades,9,15,44
91,FL,Glades,10,27,39
92,FL,Glades,11,55,148
93,FL,Glades,12,80,1
