,STATE,COUNTY,PRECINCT,DEM,REP
0,FL,St. Lucie,1,0,0
1,FL,St. Lucie,6,0,0
2,FL,St. Lucie,7,730,208
3,FL,St. Lucie,8,0,0
4,FL,St. Lucie,9,895,932
5,FL,St. Lucie,10,200,90
6,FL,St. Lucie,11,703,358
7,FL,St. Lucie,12,1454,1091
8,FL,St. Lucie,13,0,0
9,FL,St. Lucie,14,1361,94
10,FL,St. Lucie,15,0,0
11,FL,St. Lucie,16,0,0
12,FL,St. Lucie,17,0,0
13,FL,St. Lucie,18,0,0
14,FL,St. Lucie,19,782,138
15,FL,St. Lucie,20,0,0
16,FL,St. Lucie,21,0,0
17,FL,St. Lucie,22,1243,647
18,FL,St. Lucie,23,0,0
19,FL,St. Lucie,24,0,0
20,FL,St. Lucie,25,0,0
21,FL,St. Lucie,26,0,0
22,FL,St. Lucie,28,0,0
23,FL,St. Lucie,29,172,98
24,FL,St. Lucie,31,0,0
25,FL,St. Lucie,33,0,0
26,FL,St. Lucie,35,0,0
27,FL,St. Lucie,36,554,282
28,FL,St. Lucie,37,0,0
29,FL,St. Lucie,38,0,0
30,FL,St. Lucie,39,0,0
31,FL,St. Lucie,40,0,0
32,FL,St. Lucie,41,1239,656
33,FL,St. Lucie,42,0,0
34,FL,St. Lucie,43,0,0
35,FL,St. Lucie,45,0,0
36,FL,St. Lucie,46,1027,444
37,FL,St. Lucie,47,0,0
38,FL,St. Lucie,49,1409,685
39,FL,St. Lucie,50,0,0
40,FL,St. Lucie,51,0,0
41,FL,St. Lucie,52,0,0
42,FL,St. Lucie,53,1195,551
43,FL,St. Lucie,56,0,0
44,FL,St. Lucie,60,0,0
45,FL,St. Lucie,63,0,0
46,FL,St. Lucie,65,0,0
47,FL,St. Lucie,66,0,0
48,FL,St. Lucie,67,0,0
49,FL,St. Lucie,68,0,0
50,FL,St. Lucie,71,0,0
51,FL,St. Lucie,73,0,0
52,FL,St. Lucie,74,965,631
53,FL,St. Lucie,75,0,0
54,FL,St. Lucie,82,0,0
55,FL,St. Lucie,83,1901,836
56,FL,St. Lucie,84,0,0
57,FL,St. Lucie,85,0,0
58,FL,St. Lucie,86,811,691
59,FL,St. Lucie,89,0,0
60,FL,St. Lucie,91,0,0
61,FL,St. Lucie,92,0,0
62,FL,St. Lucie,93,0,0
63,FL,St. Lucie,94,0,0
64,FL,Martin,1,1007,680
65,FL,Martin,2,0,0
66,FL,Martin,3,0,0
67,FL,Martin,4,0,0
68,FL,Martin,5,0,0
69,FL,Martin,6,0,0
70,FL,Martin,7,0,0
71,FL,Martin,8,0,0
72,FL,Martin,9,0,0
73,FL,Martin,10,0,0
74,FL,Martin,11,0,0
75,FL,Martin,12,0,0
76,FL,Martin,13,0,0
77,FL,Martin,14,0,0
78,FL,Martin,15,0,0
79,FL,Martin,16,0,0
80,FL,Martin,17,0,0
81,FL,Martin,18,0,0
82,FL,Martin,19,0,0
83,FL,Martin,20,599,508
84,FL,Martin,21,0,0
85,FL,Martin,22,1300,1018
86,FL,Martin,23,1236,928
87,FL,Martin,24,0,0
88,FL,Martin,25,1728,1617
89,FL,Martin,26,0,0
90,FL,Martin,27,1527,1483
91,FL,Martin,28,0,0
92,FL,Martin,29,0,0
93,FL,Martin,30,0,0
94,FL,Martin,31,0,0
