STATE,COUNTY,PRECINCT,PAST_DEM,PAST_REP
FL,Lake,53,145,184
FL,Lake,54,265,462
FL,Lake,55,314,322
FL,Lake,56,192,298
FL,Lake,57,607,76
FL,Lake,58,329,406
FL,Lake,59,681,1117
FL,Lake,60,261,318
FL,Lake,61,888,1720
FL,Lake,62,499,896
FL,Lake,63,324,425
FL,Lake,64,255,38
FL,Lake,65,882,1479
FL,Lake,66,447,540
FL,Lake,67,839,1633
FL,Lake,68,715,648
FL,Lake,69,201,409
FL,Lake,70,309,457
FL,Lake,71,145,332
FL,Lake,72,439,531
FL,Lake,73,412,908
FL,Lake,74,416,798
FL,Lake,75,532,958
FL,Lake,76,102,179
FL,Lake,77,105,250
FL,Lake,78,968,1749
FL,Lake,79,1609,1932
FL,Lake,80,657,1082
FL,Lake,81,760,949
FL,Lake,82,1636,878
FL,Lake,83,755,1410
FL,Lake,84,1774,916
FL,Lake,85,350,554
FL,Lake,86,273,772
FL,Lake,87,1376,1696
FL,Lake,88,885,1487
FL,Lake,89,1150,1100
FL,Lake,90,738,868
FL,Lake,91,324,630
FL,Lake,92,343,895
FL,Lake,93,681,1261
FL,Lake,94,540,1329
FL,Lake,95,8,17
FL,Lake,96,400,711
FL,Lake,97,1604,1138
FL,Lake,98,114,180
FL,Lake,99,403,709
FL,Lake,100,834,1749
FL,Lake,101,438,733
FL,Lake,102,437,630
FL,Lake,103,460,726
FL,Lake,104,7,6
FL,Putnam,1,342,293
FL,Putnam,2,398,367
FL,Putnam,3,359,622
FL,Putnam,4,161,192
FL,Putnam,5,170,440
FL,Putnam,6,139,217
FL,Putnam,7,291,755
FL,Putnam,8,314,661
FL,Putnam,9,153,219
FL,Putnam,10,615,1398
FL,Putnam,11,782,1383
FL,Putnam,12,167,614
FL,Putnam,13,134,573
FL,Putnam,14,48,317
FL,Putnam,15,43,310
FL,Putnam,16,367,865
FL,Putnam,18,554,987
FL,Putnam,19,246,177
FL,Putnam,20,667,932
FL,Putnam,21,236,258
FL,Putnam,22,245,658
FL,Putnam,23,322,491
FL,Putnam,24,479,858
FL,Putnam,25,203,708
FL,Putnam,26,233,1168
FL,Putnam,27,307,1031
FL,Putnam,28,185,367
FL,Putnam,29,328,345
FL,Putnam,30,36,125
FL,Putnam,31,2,7
FL,Putnam,32,353,24
FL,Putnam,33,228,258
FL,Putnam,34,26,224
FL,Putnam,35,449,310
FL,Putnam,36,318,304
FL,Putnam,37,620,558
FL,Putnam,38,325,189
FL,Putnam,39,822,111
FL,Orange,101,1676,1231
FL,Orange,102,997,923
FL,Orange,103,178,36
FL,Orange,104,1213,1190
FL,Orange,105,1123,379
FL,Orange,106,888,1330
FL,Orange,107,677,1326
FL,Orange,108,1168,1032
FL,Orange,109,1489,1547
FL,Orange,110,1682,2507
FL,Orange,111,742,1584
FL,Orange,112,1321,2475
FL,Orange,113,1214,1602
FL,Orange,114,1081,684
FL,Orange,115,1237,1247
FL,Orange,116,1017,1121
FL,Orange,117,1125,727
FL,Orange,118,1026,926
FL,Orange,119,1786,1257
FL,Orange,120,1611,1223
FL,Orange,121,1216,795
FL,Orange,122,1104,617
FL,Orange,123,275,120
FL,Orange,124,1127,541
FL,Orange,125,1428,2068
FL,Orange,126,364,398
FL,Orange,127,666,1056
FL,Orange,128,931,1701
FL,Orange,129,381,1584
FL,Orange,130,1089,2219
FL,Orange,131,1471,1528
FL,Orange,132,1172,1564
FL,Orange,133,1596,1807
FL,Orange,134,1447,1521
FL,Orange,135,1454,2058
FL,Orange,201,298,865
FL,Orange,202,506,633
FL,Orange,203,57,28
FL,Orange,204,1151,35
FL,Orange,205,127,140
FL,Orange,206,1084,643
FL,Orange,207,1245,821
FL,Orange,208,1432,1158
FL,Orange,209,29,35
FL,Orange,210,912,354
FL,Orange,211,2068,450
FL,Orange,212,135,98
FL,Orange,213,2272,363
FL,Orange,214,2033,599
FL,Orange,215,2074,351
FL,Orange,216,2354,502
FL,Orange,217,2241,336
FL,Orange,218,1231,1078
FL,Orange,219,1514,999
FL,Orange,220,1042,1504
FL,Orange,221,1849,1507
FL,Orange,222,1624,1159
FL,Orange,223,292,126
FL,Orange,224,419,610
FL,Orange,225,1473,172
FL,Orange,226,956,249
FL,Orange,227,1412,988
FL,Orange,228,933,897
FL,Orange,229,1116,1229
FL,Orange,230,394,424
FL,Orange,231,718,470
FL,Orange,232,1411,1963
FL,Orange,233,1571,1074
FL,Orange,234,956,1818
FL,Orange,235,890,1728
FL,Orange,236,485,818
FL,Orange,237,1320,1583
FL,Orange,238,927,1663
FL,Orange,239,880,1441
FL,Orange,240,1363,872
FL,Orange,301,1115,812
FL,Orange,302,1059,1147
FL,Orange,303,1268,1079
FL,Orange,304,812,712
FL,Orange,305,1825,1431
FL,Orange,306,2150,794
FL,Orange,307,1990,778
FL,Orange,308,829,448
FL,Orange,309,2298,1095
FL,Orange,310,1098,577
FL,Orange,311,643,927
FL,Orange,312,751,837
FL,Orange,313,996,541
FL,Orange,314,1873,752
FL,Orange,315,1475,578
FL,Orange,316,2047,875
FL,Orange,317,1019,409
FL,Orange,318,1560,491
FL,Orange,319,1072,625
FL,Orange,320,1004,593
FL,Orange,321,675,232
FL,Orange,322,1581,674
FL,Orange,323,918,265
FL,Orange,324,1907,1264
FL,Orange,325,997,1190
FL,Orange,326,865,1279
FL,Orange,327,900,899
FL,Orange,328,661,654
FL,Orange,329,146,35
FL,Orange,330,657,1087
FL,Orange,331,1189,635
FL,Orange,332,1940,694
FL,Orange,333,618,1137
FL,Orange,334,775,1653
FL,Orange,335,687,1179
FL,Orange,336,1193,1125
FL,Orange,337,1345,1940
FL,Orange,338,901,962
FL,Orange,339,1721,672
FL,Orange,401,1491,967
FL,Orange,402,2058,787
FL,Orange,403,2441,1398
FL,Orange,404,1811,1096
FL,Orange,405,29,62
FL,Orange,406,2230,1507
FL,Orange,407,785,772
FL,Orange,408,1116,1370
FL,Orange,409,1822,1630
FL,Orange,410,1137,789
FL,Orange,411,1100,1147
FL,Orange,412,787,659
FL,Orange,413,1049,1082
FL,Orange,414,1262,1165
FL,Orange,415,557,544
FL,Orange,416,9,13
FL,Orange,417,2677,1361
FL,Orange,418,1867,1193
FL,Orange,419,1245,612
FL,Orange,420,63,9
FL,Orange,421,1165,442
FL,Orange,422,1626,731
FL,Orange,423,1433,552
FL,Orange,424,2525,1019
FL,Orange,425,1676,668
FL,Orange,426,1771,560
FL,Orange,427,1777,463
FL,Orange,428,1945,411
FL,Orange,429,1865,505
FL,Orange,430,888,1008
FL,Orange,431,1688,1748
FL,Orange,432,1061,1183
FL,Orange,433,724,1081
FL,Orange,434,1,25
FL,Orange,501,1883,1476
FL,Orange,502,2007,982
FL,Orange,503,850,492
FL,Orange,504,659,735
FL,Orange,505,1021,703
FL,Orange,506,18,14
FL,Orange,507,681,990
FL,Orange,508,1289,1202
FL,Orange,509,802,1028
FL,Orange,510,849,849
FL,Orange,511,796,874
FL,Orange,512,1242,424
FL,Orange,513,2012,1366
FL,Orange,514,748,1238
FL,Orange,515,1244,2104
FL,Orange,516,429,691
FL,Orange,517,1019,1877
FL,Orange,518,588,1031
FL,Orange,519,757,838
FL,Orange,520,897,971
FL,Orange,521,907,1156
FL,Orange,522,718,1352
FL,Orange,523,662,768
FL,Orange,524,1383,813
FL,Orange,525,1626,2049
FL,Orange,526,1084,528
FL,Orange,527,828,980
FL,Orange,528,1112,594
FL,Orange,529,736,557
FL,Orange,530,1013,646
FL,Orange,531,815,1130
FL,Orange,532,1947,1459
FL,Orange,533,1263,920
FL,Orange,534,816,487
FL,Orange,535,1562,1128
FL,Orange,536,1199,952
FL,Orange,537,2004,704
FL,Orange,538,1508,692
FL,Orange,539,1652,681
FL,Orange,540,1063,1021
FL,Orange,541,884,679
FL,Orange,542,1315,1108
FL,Orange,543,658,794
FL,Orange,544,1670,1719
FL,Orange,545,286,711
FL,Orange,601,1213,110
FL,Orange,602,1656,103
FL,Orange,603,1454,54
FL,Orange,604,1717,193
FL,Orange,605,1345,222
FL,Orange,606,1409,224
FL,Orange,607,1433,197
FL,Orange,608,2794,414
FL,Orange,609,2572,243
FL,Orange,610,2658,863
FL,Orange,611,2347,678
FL,Orange,612,1536,216
FL,Orange,613,344,42
FL,Orange,614,2188,848
FL,Orange,615,1908,577
FL,Orange,616,1037,34
FL,Orange,617,194,137
FL,Orange,618,190,73
FL,Orange,619,202,41
FL,Orange,620,1099,293
FL,Orange,621,1230,218
FL,Orange,622,1365,223
FL,Orange,623,1458,91
FL,Orange,624,1825,17
FL,Orange,625,1718,85
FL,Orange,626,1932,19
FL,Orange,627,1644,22
FL,Orange,628,663,158
FL,Orange,629,1544,67
FL,Orange,630,864,309
FL,Orange,631,187,103
FL,Orange,632,1786,402
FL,Orange,633,1830,234
FL,Orange,634,1814,223
FL,Duval,101,1047,935
FL,Duval,102,1869,680
FL,Duval,103,297,580
FL,Duval,104,805,939
FL,Duval,105,1353,1666
FL,Duval,106,1757,1522
FL,Duval,107,650,348
FL,Duval,108,664,940
FL,Duval,109,559,531
FL,Duval,110,550,1105
FL,Duval,111,871,1267
FL,Duval,112,768,421
FL,Duval,113,2171,1944
FL,Duval,114,957,383
FL,Duval,201,798,1699
FL,Duval,202,1299,2286
FL,Duval,203,1564,1588
FL,Duval,204,299,1265
FL,Duval,205,1516,3089
FL,Duval,206,837,2801
